"ADP","player_name","Team","Pos","year","player_age","b_game","pa","woba","xwoba","exit_velocity_avg","barrel_batted_rate","hard_hit_percent","sweet_spot_percent","oz_swing_percent","whiff_percent","k_percent","bb_percent","avg_swing_speed","avg_swing_length","r_total_stolen_base","r_total_caught_stealing","percentile_xwoba","percentile_exit_velocity_avg","percentile_barrel_batted_rate","percentile_hard_hit_percent","percentile_oz_swing_percent","percentile_whiff_percent","percentile_k_percent","percentile_bb_percent","percentile_avg_swing_speed","percentile_avg_swing_length","player_id","p_game","p_formatted_ip","p_save","p_hold","p_starting_p","fastball_avg_speed","breaking_avg_spin","percentile_fastball_avg_speed","percentile_breaking_avg_spin"
1,"Ohtani, Shohei","LAD","DH, SP",2022,27,157,666,0.37,0.383,92.9,16.8,49.8,35,28.4,28.1,24.2,10.8,NA,NA,11,9,0.989113530326594,0.967340590979782,0.978227060653188,0.942457231726283,0.455676516329705,0.606531881804043,0.480559875583204,0.821150855365474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"Ohtani, Shohei","LAD","DH, SP",2023,28,135,599,0.433,0.427,94.4,19.6,54.2,35.6,29.7,32.3,23.9,15.2,77.4,7.9,20,6,0.990353697749196,0.995176848874598,0.985530546623794,0.967845659163987,0.569131832797428,0.779742765273312,0.487138263665595,0.964630225080386,0.987387387387387,0.922522522522523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"Ohtani, Shohei","LAD","DH, SP",2024,29,159,731,0.431,0.442,95.8,21.5,60.1,37.8,26.6,29.8,22.2,11.1,76.3,7.8,59,4,0.99512987012987,0.99512987012987,0.996753246753247,0.993506493506494,0.387987012987013,0.691558441558442,0.392857142857143,0.840909090909091,0.970779220779221,0.892857142857143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"Ohtani, Shohei","LAD","DH, SP",2022,27,NA,NA,0.255,0.256,87.1,6.3,33.2,NA,28.6,33.1,33.2,6.7,NA,NA,NA,NA,0.081841432225064,0.187979539641944,0.336317135549872,0.18542199488491,0.519181585677749,0.90153452685422,0.953964194373402,0.268542199488491,NA,NA,660271,28,166,0,0,28,95.8,2491,0.834403080872914,0.627425614489004
1,"Ohtani, Shohei","LAD","DH, SP",2023,28,NA,NA,0.277,0.302,86.4,10.1,35,NA,25.7,30.8,31.5,10.4,NA,NA,NA,NA,0.295629820051414,0.106683804627249,0.749357326478149,0.251928020565553,0.280205655526992,0.829048843187661,0.93573264781491,0.65038560411311,NA,NA,660271,23,132,0,0,23,94.2,2494,0.608751608751609,0.602614379084967
2,"Judge, Aaron","NYY","OF, DH",2022,30,157,696,0.458,0.463,95.9,26.5,61.8,39,22.9,29.8,25.1,15.9,NA,NA,16,3,1,0.996889580093313,0.993779160186625,0.996889580093313,0.161741835147745,0.685847589424572,0.541213063763608,0.982892690513219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"Judge, Aaron","NYY","OF, DH",2023,31,106,458,0.42,0.461,97.6,27.5,64.2,37.1,19.5,36.6,28.4,19.2,76.4,8.1,3,1,0.998392282958199,0.998392282958199,0.998392282958199,0.995176848874598,0.0771704180064309,0.913183279742765,0.705787781350482,0.993569131832797,0.974774774774775,0.974774774774775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"Judge, Aaron","NYY","OF, DH",2024,32,158,704,0.476,0.479,96.2,26.9,61,40.8,18.7,30.7,24.3,18.9,77.2,8.2,10,0,0.998376623376623,0.996753246753247,1,0.99512987012987,0.0535714285714286,0.737012987012987,0.498376623376623,0.99512987012987,0.98538961038961,0.983766233766234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"Soto, Juan","NYM","OF",2022,23,153,664,0.376,0.401,91,12.4,47.4,28.5,17.2,19.4,14.5,20.3,NA,NA,6,2,0.992223950233281,0.880248833592535,0.888024883359253,0.906687402799378,0.0217729393468118,0.132192846034215,0.0808709175738725,0.995334370139969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"Soto, Juan","NYM","OF",2023,24,162,708,0.395,0.408,93.2,13,55.3,28.5,16.6,20.5,18.2,18.6,74.6,7.3,12,5,0.985530546623794,0.97427652733119,0.881028938906752,0.980707395498392,0.0273311897106109,0.178456591639871,0.180064308681672,0.991961414790997,0.893693693693694,0.437837837837838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"Soto, Juan","NYM","OF",2024,25,157,713,0.421,0.462,94.2,19.7,57,35.4,18.3,21.5,16.7,18.1,75.5,7.3,7,4,0.996753246753247,0.98538961038961,0.99025974025974,0.987012987012987,0.038961038961039,0.23538961038961,0.149350649350649,0.988636363636364,0.956168831168831,0.477272727272727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"Witt Jr., Bobby","KC","SS",2022,22,150,632,0.311,0.313,89.7,8.7,38.6,32.5,34.7,25.2,21.4,4.7,NA,NA,30,7,0.684292379471229,0.738724727838258,0.68895800933126,0.583203732503888,0.771384136858476,0.42457231726283,0.351477449455676,0.1850699844479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"Witt Jr., Bobby","KC","SS",2023,23,158,694,0.343,0.369,90.7,11.5,45.6,34.4,30.6,22.8,17.4,5.8,75.1,7,49,15,0.95016077170418,0.811897106109325,0.823151125401929,0.802250803858521,0.627009646302251,0.286173633440514,0.157556270096463,0.244372990353698,0.920720720720721,0.181981981981982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"Witt Jr., Bobby","KC","SS",2024,24,161,709,0.41,0.407,92.7,14.3,48.3,35.7,32.1,22.3,15,8,74.7,7.1,31,12,0.99025974025974,0.956168831168831,0.925324675324675,0.904220779220779,0.693181818181818,0.267857142857143,0.0892857142857143,0.535714285714286,0.907467532467532,0.26948051948052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,"Ramirez, Jose","Cle","3B, DH",2022,29,157,685,0.363,0.32,87.7,6.6,36.9,33.7,28.7,15.3,12,10.1,NA,NA,20,7,0.743390357698289,0.432348367029549,0.527216174183515,0.494556765163297,0.477449455676516,0.046656298600311,0.0388802488335925,0.765163297045101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,"Ramirez, Jose","Cle","3B, DH",2023,30,156,691,0.346,0.359,90,7,40.4,36.8,28.2,15.6,10.6,10.6,70.5,7.2,28,6,0.914790996784566,0.726688102893891,0.512861736334405,0.607717041800643,0.464630225080386,0.0434083601286174,0.0160771704180064,0.768488745980707,0.409009009009009,0.331531531531532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,"Ramirez, Jose","Cle","3B, DH",2024,31,158,682,0.364,0.329,89.2,8.6,39.7,34,31.7,15.2,12,7.9,71.6,7.3,41,7,0.800324675324675,0.642857142857143,0.650974025974026,0.582792207792208,0.675324675324675,0.0535714285714286,0.0308441558441558,0.519480519480519,0.555194805194805,0.477272727272727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,"Betts, Mookie","LAD","SS, OF",2022,29,142,639,0.373,0.344,90.5,9.7,44.9,36.2,22.2,16.5,16.3,8.6,NA,NA,12,2,0.895800933125972,0.839813374805599,0.743390357698289,0.833592534992224,0.138413685847589,0.0762052877138414,0.139968895800933,0.589424572317263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,"Betts, Mookie","LAD","SS, OF",2023,30,152,693,0.416,0.407,92.4,12.4,48.5,42.5,16.6,16.7,15.4,13.9,71.2,7.2,14,3,0.983922829581994,0.951768488745981,0.866559485530547,0.884244372990354,0.0273311897106109,0.0691318327974277,0.0932475884244373,0.92604501607717,0.499099099099099,0.331531531531532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,"Betts, Mookie","LAD","SS, OF",2024,31,116,516,0.371,0.356,89.9,6,39.5,39.3,21.1,14.9,11,11.8,69.1,6.9,16,2,0.930194805194805,0.74512987012987,0.439935064935065,0.576298701298701,0.121753246753247,0.0503246753246753,0.0243506493506494,0.892857142857143,0.232142857142857,0.121753246753247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
